-4.9875 0 0
-4.9625 0 0
-4.9375 0 0
-4.9125 0 0
-4.8875 0 0
-4.8625 0 0
-4.8375 0 0
-4.8125 0 0
-4.7875 0 0
-4.7625 0 0
-4.7375 0 0
-4.7125 0 0
-4.6875 0 0
-4.6625 0 0
-4.6375 0 0
-4.6125 0 0
-4.5875 0 0
-4.5625 0 0
-4.5375 0 0
-4.5125 0 0
-4.4875 0 0
-4.4625 0 0
-4.4375 0 0
-4.4125 0 0
-4.3875 0 0
-4.3625 0 0
-4.3375 0 0
-4.3125 0 0
-4.2875 0 0
-4.2625 0 0
-4.2375 0 0
-4.2125 0 0
-4.1875 0 0
-4.1625 0 0
-4.1375 0 0
-4.1125 0 0
-4.0875 0 0
-4.0625 0 0
-4.0375 0 0
-4.0125 0 0
-3.9875 0 0
-3.9625 0 0
-3.9375 0 0
-3.9125 0 0
-3.8875 0 0
-3.8625 0 0
-3.8375 0 0
-3.8125 0 0
-3.7875 0 0
-3.7625 0 0
-3.7375 0 0
-3.7125 0 0
-3.6875 0 0
-3.6625 0 0
-3.6375 0 0
-3.6125 0 0
-3.5875 0 0
-3.5625 0 0
-3.5375 0 0
-3.5125 0 0
-3.4875 0 0
-3.4625 0 0
-3.4375 0 0
-3.4125 0 0
-3.3875 0 0
-3.3625 0 0
-3.3375 0 0
-3.3125 0 0
-3.2875 0 0
-3.2625 0 0
-3.2375 0 0
-3.2125 0 0
-3.1875 0 0
-3.1625 0 0
-3.1375 0 0
-3.1125 0 0
-3.0875 0 0
-3.0625 0 0
-3.0375 0 0
-3.0125 0 0
-2.9875 0 0
-2.9625 0 0
-2.9375 0 0
-2.9125 0 0
-2.8875 0 0
-2.8625 0 0
-2.8375 0 0
-2.8125 0 0
-2.7875 0 0
-2.7625 0 0
-2.7375 0 0
-2.7125 0 0
-2.6875 0 0
-2.6625 0 0
-2.6375 0 0
-2.6125 0 0
-2.5875 0 0
-2.5625 4.54545e-05 4.43036e-05
-2.5375 0 0
-2.5125 0 0
-2.4875 0 0
-2.4625 0 0
-2.4375 0 0
-2.4125 0 0
-2.3875 4.54545e-05 4.43036e-05
-2.3625 9.09091e-05 6.09837e-05
-2.3375 9.09091e-05 6.09837e-05
-2.3125 0.0005 0.000175751
-2.2875 0.000227273 0.00012654
-2.2625 0.000181818 0.00013787
-2.2375 0.000727273 0.00015212
-2.2125 0.001 0.000264263
-2.1875 0.00104545 0.000234212
-2.1625 0.00172727 0.000279462
-2.1375 0.00122727 0.00025933
-2.1125 0.002 0.000312283
-2.0875 0.00245455 0.000352676
-2.0625 0.00245455 0.000249793
-2.0375 0.00395455 0.000376341
-2.0125 0.0045 0.000478785
-1.9875 0.00709091 0.000516664
-1.9625 0.00636364 0.000603023
-1.9375 0.00831818 0.000713723
-1.9125 0.0114091 0.00085153
-1.8875 0.0123636 0.000893965
-1.8625 0.0159091 0.000937069
